I don't really enjoy large gatherings and parties,I don't make friends easily.,I often feel sad,I experience deep and varied emotions.,I panic easily,I get irritated easily,I sometimes dislike myself,I am afraid to draw attention to myself,I feel that I'm unable to deal with things sometimes.,I get stressed out easily,Total
1,1,2,2,3,3,3,3,3,4,2.5
3,3,2,3,4,4,3,4,5,4,3.5
4,3,2,3,3,3,2,4,3,2,2.9
3,3,3,3,3,2,3,2,3,3,2.8
2,2,2,2,2,2,3,4,4,3,2.6
1,1,5,5,3,5,1,3,5,5,3.4
5,1,3,3,4,4,4,3,3,3,3.3
5,5,4,4,4,3,5,5,2,3,4
4,2,2,3,3,3,3,1,2,3,2.6
1,2,2,2,2,2,2,3,2,3,2.1
1,1,1,1,1,5,1,1,1,1,1.4
2,1,4,3,1,5,3,1,3,2,2.5
2,1,5,5,5,5,5,3,4,4,3.9
1,5,1,1,1,5,3,3,3,3,2.6
4,5,4,3,1,1,5,5,3,2,3.3
3,3,3,4,4,5,4,3,4,4,3.7
3,2,3,4,4,4,3,3,4,4,3.4
4,2,4,3,2,2,2,3,3,2,2.7
4,2,1,2,1,1,1,1,1,4,1.8
1,1,1,1,1,1,1,1,1,1,1
5,5,3,5,5,5,3,3,3,3,4
1,1,1,1,1,1,1,1,1,1,1
3,1,1,5,1,3,2,1,3,3,2.3
3,4,1,3,2,3,1,1,2,4,2.4
4,1,3,4,4,3,4,2,5,4,3.4
4,4,3,5,2,2,4,4,4,2,3.4
2,2,1,3,3,2,1,2,4,3,2.3
3,1,2,2,2,1,2,2,3,2,2
4,2,3,2,3,3,2,2,4,3,2.8
1,1,1,1,1,2,1,1,1,1,1.1
4,3,2,2,1,4,3,4,3,3,2.9
1,1,1,1,1,1,2,2,2,2,1.4
1,3,1,2,1,1,3,3,3,3,2.1
2,3,2,2,3,1,1,3,2,1,2
3,2,1,2,2,2,1,2,1,1,1.7
2,4,4,4,5,5,4,4,3,4,3.9
1,1,1,1,1,1,1,1,1,1,1
5,3,2,3,3,3,2,3,4,3,3.1
1,1,1,1,1,2,1,1,1,1,1.1
1,1,1,1,1,1,1,2,2,1,1.2
1,2,1,1,1,1,2,1,2,2,1.4
1,1,2,1,1,1,1,1,1,1,1.1
2,2,3,4,2,2,3,2,2,2,2.4
4,4,3,3,2,2,3,4,3,2,3
2,2,2,1,1,3,2,2,2,2,1.9
3,3,2,4,4,4,4,4,4,4,3.6
2,1,1,3,1,1,3,2,3,3,2
5,1,1,3,1,1,2,1,3,1,1.9
1,4,1,3,1,1,3,1,3,1,1.9
1,2,1,2,2,3,3,3,3,3,2.3
3,2,2,1,2,2,2,2,2,2,2
3,1,1,4,1,1,1,3,1,1,1.7
2,2,1,1,1,1,2,3,3,1,1.7
4,1,1,3,1,2,1,3,1,1,1.8
3,3,4,4,4,2,3,4,2,4,3.3
1,1,3,3,2,1,1,2,2,1,1.7
4,3,3,4,2,2,4,3,4,3,3.2
2,2,2,2,2,2,2,2,2,2,2
4,4,5,5,4,5,5,5,5,5,4.7
1,1,1,1,1,1,1,1,1,1,1
5,1,2,4,1,2,4,4,4,2,2.9
2,4,4,4,2,2,3,5,4,2,3.2
1,2,1,2,3,2,1,2,1,3,1.8
3,5,1,3,1,1,1,3,3,5,2.6
2,1,2,1,2,1,2,1,1,2,1.5
1,1,1,2,1,1,2,1,1,1,1.2
5,4,4,4,4,3,2,1,4,4,3.5
3,3,1,1,1,1,1,3,1,1,1.6
1,1,1,1,1,1,2,2,2,1,1.3
3,4,3,4,4,4,3,4,3,3,3.5
3,5,3,4,2,1,1,1,2,2,2.4
2,3,2,4,3,3,2,3,2,3,2.7
4,1,1,3,1,1,1,1,1,1,1.5
1,1,4,4,1,3,3,1,1,1,2
2,3,3,3,3,3,2,3,3,3,2.8
2,3,2,2,2,4,4,4,4,1,2.8
3,2,4,3,3,3,4,3,4,4,3.3
5,3,4,4,2,4,5,5,5,5,4.2
3,2,2,2,4,3,3,4,3,4,3
4,4,2,5,3,2,4,4,4,3,3.5
5,5,3,4,5,2,4,3,5,4,4
2,1,1,2,1,1,2,3,1,2,1.6
5,1,1,1,1,1,3,1,1,2,1.7
2,2,2,2,1,1,2,2,2,1,1.7
2,2,1,1,1,2,1,1,1,1,1.3
2,2,2,5,1,1,2,1,1,1,1.8
1,3,4,4,2,1,3,3,3,2,2.6
1,3,4,3,1,2,1,1,1,3,2
1,1,5,5,5,5,5,3,5,5,4
3,3,3,3,3,3,3,3,3,3,3
1,3,4,5,4,3,2,2,4,5,3.3
1,2,2,2,2,2,3,3,2,2,2.1
1,1,1,2,1,1,1,1,1,1,1.1
2,5,3,2,3,1,1,1,1,1,2
5,1,3,3,5,3,1,1,2,3,2.7
5,2,4,5,3,4,5,5,5,5,4.3
5,1,1,3,2,2,3,3,5,4,2.9
1,1,1,3,1,1,2,5,1,5,2.1
1,2,2,2,1,2,1,1,2,1,1.5
1,1,1,2,3,4,4,2,3,3,2.4
