Tenth,Inter,Competitive,Attendence,Cgpa,WillingtoContinue,Interest,OtherCareerField,FinancialStatus,FamilySupport,PersonalIssues,Addictions,Bullying,Outcome
95,95,0,0,8.01,0,0,0,1,1,0,0,0,0
97,97,0,0,7.9,1,0,1,0,1,0,0,0,0
95,98,0,0,8.48,1,0,0,0,1,0,0,0,0
98,97,0,0,8.12,1,0,1,0,1,0,0,0,0
93,96,0,0,8.5,1,0,1,0,1,0,0,0,0
83,93,0,3,8.5,0,0,1,1,1,0,1,0,1
93,98,0,2,8.64,1,1,0,0,1,0,0,0,0
95,98,1,0,9.2,1,0,0,0,1,0,0,0,0
95,91,0,0,8.8,1,0,0,0,1,0,0,0,0
80,89,1,0,8,1,0,1,0,1,0,1,0,0
92,92,0,4,8,1,0,0,0,1,0,0,0,0
95,97,0,0,8.3,1,0,1,0,1,0,0,0,0
95,98,0,0,9.3,1,0,1,0,1,1,0,0,0
95,96,0,0,9.05,1,0,0,0,1,0,0,0,0
95,97,0,0,9.45,1,0,0,0,1,0,1,0,0
92,97,0,0,9.75,1,1,0,0,1,0,0,0,0
97,96,0,1,8.98,1,0,0,0,1,0,0,0,0
90,75,0,0,8.7,1,0,1,1,1,0,0,0,0
93,97,0,0,9,1,0,0,0,1,0,0,0,0
81,94,0,6,8.64,1,0,0,0,1,0,0,0,0
93,98,0,0,8.6,1,1,0,0,0,0,0,0,0
93,98,1,0,8.5,1,0,0,0,1,0,1,1,0
86,95,1,0,8.32,1,0,0,0,1,0,0,0,0
95,97,0,0,8.55,1,0,0,0,1,0,0,0,0
95,90,0,0,0,1,1,0,0,1,0,0,0,0
93,94,0,0,8.03,1,0,0,0,1,0,0,1,0
93,97,0,1,9.03,1,0,0,0,1,1,0,0,0
95,96,0,1,8.2,0,0,0,0,1,0,0,0,0
93,98,0,0,9.3,1,0,0,0,1,0,0,0,0
95,96,0,0,9.08,1,0,0,0,1,0,0,0,0
95,95,1,0,8.41,1,0,0,0,1,0,0,0,0
98,97,0,0,8,1,0,1,0,1,0,0,0,0
87,96,0,0,8.52,1,0,0,1,1,0,0,0,0
92,94,0,0,8.1,0,0,0,0,1,0,0,0,0
98,98,0,0,8.99,1,0,0,0,1,0,0,0,0
95,98,0,0,9.06,1,0,0,0,1,0,0,0,0
91,98,1,0,8.5,0,1,0,0,0,0,0,0,0
95,98,0,0,9.6,1,0,0,0,1,0,0,0,0
95,96,0,0,9.08,1,0,0,0,1,0,0,0,0
92,98,0,0,7.65,0,0,0,0,1,0,0,0,0
92,98,0,0,8.8,1,0,0,0,1,0,0,0,0
97,97,0,1,8.28,1,0,0,0,1,0,0,0,0
88,88,0,0,8.5,1,0,0,1,1,1,0,0,0
90,98,0,2,8.84,1,0,0,0,1,0,0,0,0
88,97,0,0,9.17,1,0,1,0,1,0,0,0,0
95,96,0,0,8.88,1,0,0,0,1,0,0,0,0
73,73,0,0,6.2,1,0,0,1,1,0,0,0,0
87,87,0,0,8.32,1,0,0,1,1,0,0,0,0
92,85,0,2,8,1,0,0,0,1,0,0,0,0
97,91,0,0,7.93,1,0,0,0,1,0,0,0,0
85,95,1,0,8.32,1,0,0,0,1,0,0,0,0
95,97,0,6,9.11,1,0,0,0,1,0,1,0,0
92,96,1,4,8.45,1,0,0,0,1,0,0,0,0
95,98,0,1,9.07,1,0,0,0,1,0,0,0,0
95,98,0,0,9.25,1,0,0,0,1,1,0,0,0
90,79,0,2,7.2,1,0,1,1,1,0,0,0,0
94,96,1,0,8.71,1,0,0,0,1,0,0,0,0
90,98,0,1,9.07,1,0,0,0,1,0,0,0,0
71,80,0,1,6.9,1,1,1,0,0,0,0,0,0
85,91,0,0,7,1,0,0,0,1,0,1,0,0
74,74,1,1,6.9,1,0,0,1,1,0,0,0,0
84,92,1,1,7.4,1,0,1,1,1,1,1,0,0
95,98,0,0,8.66,1,0,0,0,1,0,0,0,0
81,78,1,0,8.44,1,0,1,1,1,0,1,0,0
92,97,0,2,8.87,0,0,1,1,1,0,0,1,1
78,95,0,0,8.49,1,0,0,0,1,0,0,0,0
92,96,0,0,7.85,1,0,1,0,1,0,0,0,0
93,95,0,0,8.3,1,0,0,0,1,0,0,0,0
94,96,0,0,9.8,0,0,1,0,1,1,1,0,0
88,92,0,0,8.06,0,0,1,0,1,0,0,0,0
93,96,0,0,7.99,1,0,0,0,1,0,0,0,0
97,93,0,6,7.5,1,1,1,0,1,1,0,1,0
98,91,1,1,7.98,1,1,1,1,1,0,0,0,0
98,97,1,0,9.23,1,0,1,1,1,0,0,0,0
84,88,0,1,8.29,1,1,0,1,1,0,0,0,0
94,76,1,6,7,1,0,1,1,1,0,1,0,0
87,94,1,1,8.3,1,0,0,0,1,0,0,1,0
92,93,0,1,7,1,1,1,0,1,1,1,0,0
93,95,1,6,9.04,1,0,1,0,1,0,0,0,0
94,97,1,0,8.5,1,0,1,0,1,0,0,0,0
95,97,0,1,7.9,1,0,0,0,1,0,0,0,0
97,94,0,1,7.4,1,1,1,0,1,0,0,0,0
91,98,0,0,9.44,1,0,0,0,1,0,0,0,0
95,96,0,0,9.2,1,0,0,0,1,0,0,0,0
89,97,1,6,8.44,1,0,0,0,1,0,0,0,0
86,94,1,0,8.67,1,0,0,0,1,0,0,0,0
83,96,0,0,8.84,1,0,0,1,1,0,0,0,0
95,92,0,0,8.23,1,0,1,1,1,0,0,0,0
80,70,1,0,6.7,1,1,1,0,1,0,0,1,1
93,98,0,0,8.89,0,0,1,1,1,0,0,0,0
88,72,1,0,62,1,0,0,0,1,0,0,0,0
79,83,0,2,6.9,1,0,1,0,1,0,0,0,0
84,84,1,0,7.98,1,0,1,0,1,0,0,0,0
74,62,0,0,6.85,1,0,0,1,1,0,0,0,0
63,96,0,0,7.5,1,0,0,0,1,0,0,0,0
90,93,1,0,8.8,1,0,0,0,1,1,0,0,0
79,86,1,0,6.4,1,0,1,0,1,0,0,0,0
83,81,1,0,6.86,1,0,0,0,1,1,1,0,0
93,98,0,0,9.3,0,0,1,1,1,0,0,0,0
65,76,0,3,7.2,0,1,1,0,1,1,1,0,1
